,Province/State,Country/Region,Lat,Long,Date,Min Temp (F),Max Temp (F),Wind Speed (Miles),Humidity,Pressure,Precip (Inches),Weather Code
121,District of Columbia,US,38.9,-77.03,2020-03-23,42.0,50.0,8.0,93.0,1024.0,0.2,308.0
122,Nevada,US,38.31,-117.06,2020-03-23,36.0,51.0,3.0,75.0,1013.0,0.1,176.0
123,New Hampshire,US,43.45,-71.56,2020-03-23,23.0,40.0,11.0,44.0,1035.0,0.0,122.0
124,Minnesota,US,45.69,-93.9,2020-03-23,30.0,42.0,3.0,72.0,1021.0,0.0,116.0
125,Nebraska,US,41.13,-98.27,2020-03-23,36.0,63.0,5.0,65.0,1018.0,0.0,116.0
126,Ohio,US,40.39,-82.76,2020-03-23,40.0,46.0,8.0,87.0,1020.0,0.0,119.0
127,Rhode Island,US,41.68,-71.51,2020-03-23,26.0,40.0,11.0,57.0,1035.0,0.0,122.0
128,Wisconsin,US,44.27,-89.62,2020-03-23,28.0,41.0,7.0,82.0,1022.0,0.0,122.0
129,Connecticut,US,41.6,-72.76,2020-03-23,33.0,40.0,10.0,63.0,1033.0,0.0,122.0
130,Hawaii,US,21.09,-157.5,2020-03-23,68.0,73.0,26.0,71.0,1022.0,0.0,176.0
131,Oklahoma,US,35.57,-96.93,2020-03-23,49.0,69.0,11.0,73.0,1019.0,0.0,116.0
132,Utah,US,40.15,-111.86,2020-03-23,39.0,50.0,3.0,44.0,1011.0,0.0,176.0
133,,Burkina Faso,12.24,-1.56,2020-03-23,83.0,107.0,3.0,18.0,1008.0,0.0,116.0
134,,Holy See,41.9,12.45,2020-03-23,44.0,60.0,7.0,40.0,1020.0,0.0,116.0
135,,Mongolia,46.86,103.85,2020-03-23,28.0,54.0,3.0,37.0,1009.0,0.0,122.0
136,,Panama,8.54,-80.78,2020-03-23,73.0,92.0,16.0,46.0,1014.0,0.0,116.0
137,Kansas,US,38.53,-96.73,2020-03-23,40.0,63.0,7.0,69.0,1019.0,0.0,116.0
138,Louisiana,US,31.17,-91.87,2020-03-23,64.0,81.0,8.0,78.0,1020.0,0.0,116.0
139,Missouri,US,38.46,-92.29,2020-03-23,36.0,56.0,5.0,76.0,1022.0,0.0,119.0
140,Vermont,US,44.05,-72.71,2020-03-23,24.0,37.0,13.0,39.0,1032.0,0.0,119.0
141,Alaska,US,61.37,-152.4,2020-03-23,10.0,23.0,2.0,84.0,1035.0,0.0,116.0
142,Arkansas,US,34.97,-92.37,2020-03-23,45.0,65.0,5.0,72.0,1021.0,0.0,116.0
143,Delaware,US,39.32,-75.51,2020-03-23,40.0,47.0,17.0,93.0,1025.0,0.2,308.0
144,Idaho,US,44.24,-114.48,2020-03-23,8.0,34.0,9.0,92.0,1010.0,0.0,116.0
145,Maine,US,44.69,-69.38,2020-03-23,18.0,37.0,9.0,45.0,1037.0,0.0,116.0
146,Michigan,US,43.33,-84.54,2020-03-23,29.0,42.0,4.0,85.0,1022.0,0.0,122.0
147,Mississippi,US,32.74,-89.68,2020-03-23,63.0,71.0,6.0,96.0,1020.0,0.0,353.0
148,Montana,US,46.92,-110.45,2020-03-23,22.0,40.0,10.0,49.0,1006.0,0.0,116.0
149,New Mexico,US,34.84,-106.25,2020-03-23,42.0,63.0,21.0,33.0,1014.0,0.0,116.0
150,North Dakota,US,47.53,-99.78,2020-03-23,22.0,38.0,9.0,88.0,1017.0,0.0,116.0
151,South Dakota,US,44.3,-99.44,2020-03-23,30.0,52.0,9.0,51.0,1018.0,0.0,116.0
152,West Virginia,US,38.49,-80.95,2020-03-23,43.0,49.0,9.0,90.0,1021.0,0.2,308.0
153,Wyoming,US,42.76,-107.3,2020-03-23,26.0,45.0,17.0,49.0,1011.0,0.0,116.0
154,Hubei,China,30.98,112.27,2020-03-23,58.0,72.0,7.0,57.0,1018.0,0.0,116.0
155,,Iran,32.0,53.0,2020-03-23,27.0,44.0,16.0,37.0,1008.0,0.0,176.0
156,,"Korea, South",36.0,128.0,2020-03-23,37.0,61.0,12.0,27.0,1018.0,0.0,116.0
157,France,France,46.23,2.21,2020-03-23,41.0,62.0,2.0,53.0,1020.0,0.0,116.0
158,Guangdong,China,23.34,113.42,2020-03-23,75.0,92.0,3.0,52.0,1015.0,0.0,116.0
159,Henan,China,33.88,113.61,2020-03-23,53.0,74.0,8.0,34.0,1019.0,0.0,116.0
160,Zhejiang,China,29.18,120.09,2020-03-23,50.0,60.0,6.0,70.0,1020.0,0.0,116.0
161,Hunan,China,27.61,111.71,2020-03-23,59.0,72.0,2.0,71.0,1017.0,0.0,119.0
162,Anhui,China,31.83,117.23,2020-03-23,52.0,67.0,12.0,38.0,1020.0,0.0,116.0
163,Jiangxi,China,27.61,115.72,2020-03-23,65.0,70.0,5.0,87.0,1016.0,0.0,353.0
164,Shandong,China,36.34,118.15,2020-03-23,51.0,72.0,3.0,19.0,1021.0,0.0,113.0
165,Diamond Princess,Cruise Ship,35.44,139.64,2020-03-23,37.0,53.0,12.0,59.0,1010.0,0.0,266.0
166,Jiangsu,China,32.97,119.46,2020-03-23,47.0,65.0,9.0,44.0,1022.0,0.0,116.0
167,Chongqing,China,30.06,107.87,2020-03-23,60.0,77.0,3.0,64.0,1015.0,0.0,176.0
168,Sichuan,China,30.62,102.71,2020-03-23,28.0,50.0,2.0,42.0,1016.0,0.0,116.0
169,Heilongjiang,China,47.86,127.76,2020-03-23,26.0,37.0,12.0,45.0,1020.0,0.0,113.0
170,Denmark,Denmark,56.26,9.5,2020-03-23,31.0,44.0,11.0,41.0,1038.0,0.0,116.0
171,Beijing,China,40.18,116.41,2020-03-23,52.0,72.0,5.0,15.0,1020.0,0.0,113.0
172,Shanghai,China,31.2,121.45,2020-03-23,54.0,66.0,9.0,25.0,1022.0,0.0,116.0
173,Hebei,China,39.55,116.13,2020-03-23,51.0,73.0,8.0,14.0,1020.0,0.0,116.0
